y,u_velocity
0.0,-0.4819134
0.025,-0.4819134
0.05,-0.4749723
0.07500000000000001,-0.46753463
0.1,-0.45369768
0.125,-0.44115588
0.15000000000000002,-0.42202935
0.17500000000000002,-0.40492326
0.2,-0.3808834
0.225,-0.359505
0.25,-0.3311379
0.275,-0.3063323
0.30000000000000004,-0.27474198
0.325,-0.24781267
0.35000000000000003,-0.21433598
0.375,-0.18665953
0.4,-0.15250698
0.42500000000000004,-0.12522219
0.45,-0.091266654
0.47500000000000003,-0.0651379
0.5,-0.03186813
0.525,-0.007284608
0.55,0.025140965
0.5750000000000001,0.04810996
0.6000000000000001,0.07978947
0.625,0.10136784
0.65,0.13264883
0.675,0.15346065
0.7000000000000001,0.1851323
0.7250000000000001,0.20662935
0.75,0.24056292
0.775,0.26608807
0.8,0.3066422
0.8250000000000001,0.34329545
0.8500000000000001,0.39915934
0.875,0.45908007
0.9,0.5423892
0.925,0.6378106
0.9500000000000001,0.752878
0.9750000000000001,0.87763935
1.0,1.0
